Account_Length,Vmail_Message,Day_Mins,Eve_Mins,Night_Mins,Intl_Mins,CustServ_Calls,Churn,Intl_Plan,Day_Calls,Eve_Calls,Night_Calls,Intl_Calls,State
78,0,130.8,223.7,227.8,10.0,1,0,0,64,116,108,5,19
136,33,203.9,187.6,101.7,10.5,3,0,1,106,99,107,6,0
149,0,140.4,271.8,188.3,11.1,1,0,0,94,92,108,9,31
98,0,126.3,166.8,187.8,9.4,3,0,0,102,85,135,2,10
34,0,124.8,282.2,311.5,10.0,2,0,0,82,98,78,4,2
160,0,85.8,165.3,178.5,9.2,3,0,0,77,110,92,4,13
64,0,154.0,225.8,265.3,3.5,1,0,0,67,118,86,3,48
59,28,120.9,213.0,163.1,8.5,2,0,0,97,92,116,5,37
65,0,211.3,162.6,134.7,13.2,3,0,0,120,122,118,5,22
142,0,187.0,134.6,242.2,7.4,2,0,0,133,74,127,5,8
97,24,133.2,217.2,70.6,11.0,1,0,0,135,58,79,3,50
52,0,191.9,269.8,236.8,7.8,3,0,0,108,96,87,5,12
60,0,220.6,211.1,249.0,6.8,1,0,0,57,115,129,3,15
10,0,186.1,190.2,282.8,11.4,2,0,0,112,66,57,6,45
96,0,160.2,267.5,228.5,9.3,2,0,0,117,67,68,5,44
81,0,175.5,249.3,270.2,10.2,1,0,0,67,85,98,3,15
141,0,126.9,180.0,140.8,8.0,1,0,0,98,62,128,2,5
121,30,198.4,75.3,181.2,5.8,3,1,0,129,77,77,3,5
125,0,229.3,177.4,189.3,12.0,1,0,0,103,126,95,8,36
174,0,192.1,169.9,166.6,11.4,1,0,0,97,94,54,4,13
116,34,268.6,178.2,166.3,11.6,2,0,0,83,142,106,3,4
74,33,193.7,246.1,138.0,14.6,2,0,0,91,96,92,3,23
149,28,180.7,187.8,265.5,12.6,3,0,0,92,64,53,3,41
38,0,131.2,162.9,159.0,8.2,2,0,0,98,97,106,6,27
40,41,148.1,169.5,214.1,6.2,2,0,0,74,88,102,5,47
43,0,251.5,212.8,157.8,9.3,0,0,1,105,104,67,4,50
113,0,125.2,206.4,129.3,8.3,0,0,1,93,119,139,8,23
126,0,211.6,216.9,153.5,7.8,1,0,0,70,80,60,1,44
138,0,241.8,170.5,295.3,11.8,3,0,0,93,83,104,7,31
162,46,224.9,188.2,254.6,12.1,0,0,0,97,84,61,2,23
147,0,248.6,148.9,172.5,8.0,3,0,0,83,85,109,4,32
90,0,203.4,226.7,152.4,7.3,1,0,0,146,117,105,4,33
85,0,235.8,157.2,188.2,12.0,0,0,0,109,94,99,3,11
50,0,157.1,223.3,181.4,6.1,1,0,0,90,72,111,2,23
82,0,300.3,181.0,270.1,11.7,0,1,0,109,100,73,4,7
46,0,214.1,164.4,177.5,8.2,2,0,0,72,104,113,3,23
70,0,170.2,155.2,228.6,15.0,1,0,0,98,102,76,2,20
144,0,201.1,303.5,224.0,13.2,1,0,0,99,74,119,2,49
116,0,215.4,204.8,278.5,12.6,3,0,1,104,79,109,5,37
55,25,165.6,136.1,175.7,11.0,3,0,0,123,95,90,2,5
70,24,249.5,259.7,222.7,9.8,1,0,0,101,98,68,4,10
106,0,210.6,249.2,191.4,12.4,2,1,0,96,85,88,1,43
128,29,179.3,225.9,323.0,8.6,0,0,0,104,86,78,7,46
111,0,214.3,208.5,182.4,12.0,1,0,0,118,76,98,2,49
74,35,154.1,123.4,202.1,10.9,2,0,0,104,84,57,9,17
128,0,237.9,247.6,208.9,13.9,1,1,0,125,93,68,4,31
82,0,143.9,194.9,109.6,11.1,1,0,0,61,105,94,2,7
155,0,203.4,190.9,196.0,8.9,0,1,0,100,104,119,4,18
80,0,124.3,173.0,253.2,7.9,1,0,0,100,107,62,9,2
78,0,252.9,178.4,263.9,9.5,3,0,0,93,112,105,7,21
90,0,179.1,190.6,127.7,10.6,3,0,0,71,81,91,7,3
104,0,278.4,81.0,163.2,9.8,1,0,0,106,113,137,5,0
73,0,160.1,213.3,174.1,13.0,0,0,0,110,72,72,4,26
120,0,212.1,209.4,167.2,5.3,1,1,0,131,104,96,5,25
77,0,251.8,205.7,275.2,9.8,2,1,0,72,126,109,7,13
108,0,178.3,189.0,129.1,14.6,0,0,0,137,76,102,5,19
135,0,151.7,119.0,180.0,10.5,0,0,0,82,105,100,6,46
95,0,135.0,183.6,245.3,12.5,1,0,0,99,106,102,9,17
122,0,170.5,173.7,248.6,11.3,1,0,0,94,109,75,2,15
36,29,281.4,202.2,187.2,9.0,2,0,0,102,76,113,6,22
93,21,117.9,164.5,217.0,9.8,1,0,0,131,115,86,3,32
141,32,148.6,131.1,219.4,10.1,1,0,0,91,97,142,1,5
157,0,229.8,147.9,241.4,9.6,3,0,0,90,121,108,7,44
120,0,165.0,317.2,119.2,8.3,1,0,0,100,83,86,8,22
103,0,185.0,223.3,222.8,12.6,2,0,0,117,94,91,2,19
125,0,126.7,206.0,247.8,13.3,1,0,0,108,90,114,7,8
63,0,58.9,169.6,211.4,9.4,1,0,0,125,59,88,3,3
74,0,282.5,219.9,170.0,9.4,1,1,0,114,48,115,4,33
112,36,113.7,157.5,177.6,10.0,2,0,0,117,82,118,3,24
97,0,239.8,214.8,143.3,8.7,2,0,0,125,111,81,5,13
46,0,210.2,227.3,200.1,13.1,1,0,0,92,77,116,7,29
41,22,213.8,141.8,142.2,7.2,0,0,0,102,86,123,3,43
121,0,190.7,183.5,220.8,9.8,3,0,0,103,117,103,4,20
193,0,170.9,132.3,112.9,11.6,1,0,0,124,95,89,3,25
130,0,154.2,110.2,227.4,9.2,2,0,0,119,98,117,5,33
85,0,201.4,229.4,252.5,12.0,1,0,0,52,104,106,3,3
92,0,91.7,193.7,175.0,9.2,2,0,0,90,123,86,4,43
131,36,214.2,161.7,264.7,9.5,3,0,0,115,117,102,4,29
90,0,145.5,217.7,146.9,10.9,3,0,0,92,114,123,2,29
75,0,166.3,158.2,256.7,6.1,1,0,0,125,86,80,5,4
78,0,231.0,230.4,261.4,9.5,1,0,0,115,140,120,3,31
163,0,197.0,202.6,206.4,9.1,1,0,0,109,128,80,10,2
91,0,129.9,173.3,247.2,11.2,3,0,1,112,83,130,3,1
91,0,203.1,210.1,195.6,12.0,3,0,0,106,113,129,3,9
127,36,183.2,126.8,263.3,11.2,1,0,0,117,76,71,8,0
113,23,205.0,152.0,158.6,10.2,2,0,0,101,60,59,5,33
110,0,148.5,276.4,193.6,12.4,1,0,0,115,84,112,3,8
120,39,200.3,220.4,253.8,10.5,0,0,0,68,97,116,4,20
157,28,192.6,195.5,109.7,6.8,3,0,0,107,74,139,5,22
117,0,167.1,177.5,249.4,14.1,2,1,1,86,87,132,7,46
140,0,231.9,160.1,110.4,14.3,3,0,0,101,94,98,6,22
127,0,146.7,203.5,203.4,13.7,1,0,0,91,78,110,3,47
83,0,271.5,216.3,121.1,11.7,1,0,1,87,126,105,4,44
121,0,181.5,218.4,161.6,8.5,1,0,0,121,98,103,5,18
145,43,257.7,162.1,286.9,11.1,2,0,0,97,95,86,4,39
113,0,193.8,221.4,172.3,10.6,1,0,0,99,125,67,6,12
117,0,102.8,206.7,299.0,10.1,1,0,0,119,91,105,7,29
65,0,187.9,157.6,227.3,7.5,1,0,0,116,117,86,6,35
151,0,178.7,292.1,265.9,9.8,0,0,0,116,138,101,4,18
139,23,157.6,247.0,259.2,13.7,0,0,0,129,96,112,2,45
6,0,183.6,256.7,178.6,10.2,1,0,0,117,72,79,2,24
115,24,142.1,183.4,164.8,9.6,1,0,0,124,129,114,4,9
87,0,136.3,172.2,137.5,7.1,0,0,0,97,108,101,5,40
141,0,217.1,241.5,253.5,12.0,0,0,0,110,111,103,6,45
141,36,187.5,241.4,229.5,10.5,3,0,0,99,116,105,5,12
62,0,98.9,135.4,236.6,12.2,1,0,0,103,122,82,1,22
146,0,206.3,148.6,167.2,6.1,1,0,0,151,89,91,3,36
92,33,243.1,213.8,228.7,12.1,2,0,0,92,92,104,2,8
185,31,189.8,163.3,264.8,7.5,1,0,0,126,133,126,3,10
148,0,202.0,243.2,261.3,10.9,1,0,0,102,128,90,3,7
94,38,170.1,193.3,105.9,12.8,1,0,0,124,116,73,4,3
32,0,230.9,187.4,154.0,6.3,0,0,0,87,90,53,2,1
68,0,237.1,223.5,97.4,13.2,1,0,0,105,105,79,2,5
64,27,182.1,169.7,164.7,10.6,2,0,0,91,98,86,5,30
25,0,119.3,211.5,268.9,10.5,3,0,0,87,101,86,4,32
65,0,116.8,178.9,182.4,14.1,1,0,0,87,93,150,2,37
179,0,219.2,149.4,244.7,6.1,0,0,0,92,125,104,5,18
94,0,252.6,169.0,170.9,11.1,2,0,0,104,125,106,7,29
62,0,147.1,190.4,195.2,12.2,0,0,0,91,107,115,3,23
127,0,202.1,229.4,195.2,11.5,2,0,0,103,86,113,3,22
116,0,173.5,194.1,208.0,16.2,3,0,0,93,76,112,10,2
19,0,186.1,254.3,214.0,14.6,2,0,0,98,57,127,7,30
170,0,259.9,245.0,134.4,8.4,3,0,1,68,122,121,3,45
106,0,158.7,64.3,198.5,10.2,1,0,0,74,139,103,4,34
93,0,271.6,229.4,77.3,10.9,2,0,0,71,108,121,3,3
164,0,160.6,163.2,187.1,9.0,1,0,0,111,126,112,3,50
51,0,232.4,187.4,231.2,9.1,1,0,0,109,95,107,3,47
107,0,133.8,180.5,112.2,8.9,0,0,0,85,94,115,4,5
130,0,176.9,90.7,238.0,9.5,1,0,0,109,104,69,2,43
80,0,209.9,195.1,208.2,8.8,2,0,0,74,77,119,4,17
94,0,137.5,203.2,150.0,13.4,0,0,0,118,88,131,2,26
118,23,289.5,166.6,119.1,9.5,1,0,0,52,111,88,4,36
117,23,198.1,177.0,180.5,6.8,1,0,0,86,86,92,6,20
78,0,149.7,182.2,261.5,9.7,0,0,0,119,115,126,8,42
63,0,83.0,177.0,245.7,13.0,0,0,0,64,106,89,3,7
53,24,145.7,220.5,249.9,13.1,3,0,0,146,136,96,5,23
62,0,182.3,328.2,245.0,11.2,2,0,0,101,93,131,1,8
97,0,218.0,184.0,240.5,6.4,3,0,0,86,94,110,8,20
105,0,140.6,178.6,217.0,6.8,2,0,0,109,51,83,3,22
157,0,152.7,257.5,198.1,9.4,1,0,0,105,80,93,4,47
66,36,106.7,209.8,190.4,12.1,1,0,0,76,77,117,2,24
122,0,243.8,83.9,179.8,13.7,2,0,0,98,72,84,8,15
38,0,194.4,186.7,223.3,10.8,3,0,0,94,95,90,5,37
106,0,213.9,151.9,260.1,12.2,3,0,0,95,70,124,5,20
99,0,217.2,246.7,226.1,15.8,3,0,0,112,89,89,7,39
99,0,241.1,155.6,188.2,11.6,1,0,0,72,98,109,10,18
82,24,155.2,244.5,122.4,10.7,1,0,0,131,106,68,3,38
86,31,167.6,113.0,246.9,12.2,1,0,0,139,118,121,6,3
93,0,179.3,178.6,225.2,11.5,3,0,0,93,98,131,6,18
93,0,151.4,186.4,172.5,10.9,0,0,0,89,76,120,3,9
120,0,180.0,224.2,265.4,4.7,3,0,0,80,82,91,7,9
136,0,250.2,267.1,151.0,13.0,1,1,0,121,118,114,2,20
81,0,183.6,152.6,212.2,12.2,3,0,0,116,98,99,6,47
127,22,166.0,174.5,244.9,10.2,1,0,0,114,103,68,6,42
65,0,136.1,272.9,220.2,4.4,1,0,0,112,96,104,2,25
35,0,149.3,242.2,174.3,8.9,2,0,0,113,122,104,6,21
88,0,65.4,168.2,236.0,13.8,2,0,0,97,76,113,1,36
123,0,206.9,244.7,221.5,7.7,3,0,0,85,78,136,2,24
126,27,186.2,189.6,76.5,9.6,2,0,0,78,83,139,3,12
45,22,196.6,313.2,163.3,11.9,0,0,0,84,92,108,3,17
93,0,312.0,129.4,217.6,10.5,0,1,1,109,100,74,2,20
63,36,199.0,291.3,197.6,11.0,1,0,1,110,111,92,6,35
100,0,203.1,217.0,180.9,13.5,3,0,0,96,126,122,2,36
53,0,168.8,220.3,154.3,10.9,0,0,0,97,87,113,2,33
92,0,173.1,240.3,233.2,9.0,1,0,1,140,105,117,5,13
110,40,202.6,118.8,234.9,9.0,2,0,0,103,128,98,9,41
110,0,74.5,200.8,192.2,9.8,3,0,0,117,98,101,7,14
73,0,192.2,168.6,139.8,9.4,1,0,0,86,116,87,6,1
138,0,220.2,88.3,195.3,12.9,0,0,0,89,125,79,5,31
137,0,135.1,134.1,223.1,12.3,2,1,1,95,102,81,2,33
36,0,253.4,182.4,275.8,8.4,1,0,0,77,151,103,2,15
85,0,225.0,176.9,194.3,7.1,3,0,0,81,63,110,2,49
22,0,110.3,166.5,202.3,9.5,0,0,0,107,93,96,5,40
107,37,60.0,102.2,261.8,11.1,0,0,0,102,80,106,3,39
51,0,214.8,149.7,283.4,10.2,0,0,0,94,58,66,5,15
119,23,154.0,278.0,228.4,11.8,2,0,0,114,137,112,4,32
82,0,207.0,232.9,172.4,9.1,3,0,0,90,83,108,8,25
86,41,119.0,230.0,236.9,9.5,0,0,0,101,134,58,3,22
97,0,143.7,273.0,178.3,10.9,0,0,1,117,82,81,3,43
108,0,138.6,172.3,231.6,9.8,1,0,0,122,117,92,3,7
114,0,84.7,249.9,193.4,14.5,1,0,0,118,86,95,8,43
92,0,62.6,180.6,221.7,10.4,1,1,1,111,126,80,2,16
59,0,155.2,235.3,169.4,8.7,1,0,0,79,123,80,4,44
24,25,164.9,209.3,231.2,6.7,1,0,0,110,105,55,9,23
151,0,134.5,143.1,223.9,15.4,1,0,0,88,112,61,1,14
117,0,143.3,211.3,185.2,11.5,1,0,0,103,108,96,3,32
78,0,168.3,221.2,241.0,12.5,1,0,0,110,73,136,1,40
155,0,262.4,194.6,146.5,8.3,2,0,0,55,113,85,6,27
114,30,206.2,260.0,291.6,11.4,1,0,0,79,91,83,6,49
119,0,138.3,170.5,263.9,13.5,3,0,0,89,78,98,6,30
64,48,94.4,136.2,147.4,4.5,0,0,0,104,101,89,4,24
118,0,160.0,175.4,184.8,9.9,2,0,1,123,96,99,3,19
101,0,206.6,224.9,249.9,14.6,0,0,0,105,117,100,3,38
117,0,134.7,180.0,200.9,7.7,1,0,0,121,83,104,3,36
139,0,192.8,234.4,203.2,13.0,3,0,0,104,96,101,3,50
92,28,151.1,194.8,239.2,10.0,1,0,0,90,79,114,3,38
83,0,221.4,231.8,122.5,9.8,3,0,0,103,103,100,5,47
148,0,218.9,208.0,203.3,11.1,0,0,1,88,85,99,4,11
144,48,189.8,123.4,214.2,6.5,2,1,0,96,67,106,2,41
131,25,192.7,225.9,254.2,10.9,2,0,0,85,105,59,6,1
146,0,204.4,219.1,222.7,10.5,3,0,1,135,90,114,6,46
143,0,172.3,174.0,188.2,13.0,2,0,0,97,108,119,4,26
81,0,198.4,210.9,193.3,10.4,2,0,0,93,108,71,6,23
48,37,211.7,159.9,144.1,12.2,1,0,0,115,84,80,1,0
86,28,221.6,288.4,240.3,9.0,1,0,0,74,100,105,2,22
71,0,197.9,181.5,281.4,6.7,3,0,0,108,109,56,5,8
145,24,147.5,175.7,252.1,15.6,2,0,0,90,108,102,3,41
137,0,206.4,128.0,194.5,8.8,2,0,0,122,102,84,5,22
137,0,205.9,209.3,289.9,14.5,2,0,0,88,86,84,4,16
167,0,207.6,132.4,255.2,14.1,0,0,0,88,63,98,5,1
89,0,303.9,260.9,312.1,5.3,1,1,0,95,114,89,3,36
199,34,230.6,219.4,299.3,8.0,0,0,0,121,99,94,2,6
132,0,99.5,129.1,125.1,9.7,0,0,0,110,80,124,3,29
94,0,177.1,194.0,146.7,5.9,1,0,0,112,112,108,4,48
96,18,172.7,133.4,259.5,9.8,1,0,0,86,113,70,3,48
166,0,204.2,179.9,216.8,9.5,1,0,0,115,152,109,5,15
74,0,85.7,247.7,142.4,10.1,2,0,0,83,67,85,5,7
36,0,157.6,184.3,240.4,11.9,0,0,0,117,58,99,1,2
94,0,181.5,199.9,287.7,6.6,1,0,0,98,88,114,5,23
67,0,171.7,110.4,195.4,11.9,2,0,0,80,81,111,4,20
158,0,158.0,292.5,241.1,9.1,1,0,0,106,114,89,4,12
136,0,92.0,253.6,214.1,10.3,1,0,0,117,77,90,10,3
196,0,234.0,249.5,173.1,9.1,2,0,0,109,114,70,5,24
113,0,272.1,268.5,213.8,8.5,1,1,0,111,118,105,10,46
112,0,194.4,190.3,183.4,11.4,0,0,0,101,82,107,2,39
62,0,248.7,220.0,265.7,13.2,1,1,0,109,118,78,2,23
110,38,236.3,195.9,183.5,9.7,1,0,0,102,112,82,6,43
16,0,205.6,169.5,220.1,10.9,0,0,0,69,93,64,3,45
73,0,94.1,280.3,205.0,9.8,0,0,0,136,122,77,4,19
103,28,121.0,270.4,160.5,7.7,2,0,0,105,100,76,4,10
119,29,117.8,256.8,147.6,7.6,3,0,0,66,114,76,3,39
173,21,232.4,211.9,273.0,5.0,3,0,0,96,118,102,5,13
128,32,223.5,188.8,154.9,9.4,2,1,1,81,74,101,2,41
86,0,176.3,259.2,287.4,6.2,0,0,0,79,97,78,3,19
114,32,125.2,177.8,232.4,12.9,1,0,0,79,105,89,3,50
104,0,138.7,256.9,234.9,10.0,0,0,0,107,113,74,3,45
148,0,86.3,246.6,251.6,11.3,1,0,0,134,92,91,4,37
129,0,207.0,154.9,245.1,13.4,3,0,0,91,121,112,5,45
100,30,58.8,219.5,152.3,7.1,0,0,0,104,107,118,3,21
143,33,239.2,235.5,156.3,9.5,1,0,0,109,112,95,4,10
76,0,198.3,217.1,188.4,12.5,0,0,0,130,86,96,3,12
116,0,192.1,312.9,130.2,7.9,3,0,0,98,135,94,2,9
54,0,272.6,248.7,197.4,9.5,1,1,0,83,74,111,2,26
108,0,169.6,264.1,206.3,9.3,0,0,0,99,87,78,4,8
66,0,201.3,152.8,233.2,7.5,1,0,0,95,66,101,4,26
99,0,169.2,271.5,170.2,10.6,0,0,0,70,77,104,2,40
55,0,194.1,176.6,302.8,7.0,2,0,0,121,110,136,7,47
77,0,233.8,266.5,212.7,7.6,2,0,0,104,94,104,3,37
78,0,225.1,199.2,175.5,14.6,0,0,0,67,127,102,2,0
89,0,213.0,176.6,262.6,9.1,1,1,0,63,71,126,1,10
44,34,221.8,161.7,227.7,14.0,0,0,0,105,85,62,7,14
64,37,154.6,83.4,165.9,13.3,1,0,0,92,103,99,3,40
141,0,260.2,179.2,135.0,7.2,3,0,0,131,120,119,8,45
81,33,161.6,123.0,261.3,12.2,1,0,0,117,90,101,5,48
83,41,155.9,162.3,127.6,13.1,3,0,0,122,107,105,5,3
79,0,152.2,177.2,96.4,5.3,1,0,0,112,132,87,3,2
117,0,181.5,205.1,204.0,14.7,2,0,0,95,88,82,9,0
64,0,236.2,218.6,194.1,13.2,2,1,1,77,85,97,2,25
31,0,166.1,79.3,213.7,12.7,1,0,0,105,93,98,2,21
124,0,244.6,188.8,206.0,11.3,1,0,1,89,80,114,4,4
122,23,134.2,227.3,122.4,8.5,2,0,0,85,132,96,2,32
37,39,149.7,211.1,114.3,9.2,1,0,1,122,75,90,4,29
90,29,150.1,264.7,178.4,5.8,1,0,0,109,103,97,4,40
159,0,257.1,312.2,183.0,8.8,1,1,1,53,127,82,6,5
148,0,124.4,179.7,253.0,11.3,0,0,0,83,81,99,6,8
39,36,141.7,232.3,222.1,12.0,1,0,0,121,113,131,5,35
77,0,230.0,103.2,309.6,11.3,2,0,0,87,138,136,3,25
194,0,162.3,213.7,192.1,10.9,0,0,0,88,118,81,2,36
132,0,83.4,232.2,146.7,7.6,1,0,0,110,137,114,5,16
128,0,195.6,267.8,164.9,16.0,0,0,0,99,120,76,2,19
135,0,201.8,225.0,204.4,10.3,1,0,0,81,114,82,6,27
56,0,197.0,222.8,225.3,10.6,2,0,0,110,102,91,6,32
151,0,218.0,114.4,269.2,12.4,0,1,1,57,88,95,1,4
32,0,164.8,229.9,167.3,14.8,2,0,0,98,96,108,2,34
90,0,179.2,210.7,276.9,9.2,2,0,0,77,99,58,6,3
87,21,214.0,180.0,134.5,10.6,0,0,0,113,114,82,5,41
138,0,170.5,118.2,187.9,11.2,2,0,0,87,116,111,7,7
95,0,165.5,286.2,198.9,11.5,1,1,1,84,112,89,2,24
127,0,221.0,160.7,233.1,6.8,2,0,0,100,113,96,4,16
137,0,242.1,191.0,218.6,14.7,3,0,0,118,93,50,2,41
97,0,151.6,155.4,240.0,14.7,1,0,0,107,96,112,4,36
149,0,176.2,145.0,249.5,5.7,0,0,1,87,81,92,4,37
117,22,196.0,322.7,225.6,3.7,1,0,1,82,82,120,5,15
84,0,159.5,247.1,187.9,7.2,2,0,0,125,90,82,4,35
99,0,146.7,274.0,321.3,8.9,3,0,0,64,99,98,1,6
54,0,210.5,204.5,127.8,8.5,1,0,0,102,83,53,5,30
85,0,102.0,270.2,148.2,10.7,1,0,0,95,139,105,3,48
150,0,126.0,238.5,285.1,10.2,3,0,0,99,73,100,6,25
43,0,168.4,243.8,214.7,11.1,1,0,0,125,89,102,2,49
35,0,105.6,258.2,213.1,8.7,0,0,0,129,129,77,3,19
112,0,217.1,205.2,185.7,9.4,2,0,0,76,100,91,3,38
16,0,229.6,205.7,166.2,10.8,0,1,0,78,108,91,2,48
84,0,138.6,199.0,204.1,7.8,0,0,0,102,93,137,4,43
84,0,181.5,130.7,186.5,8.5,1,0,0,129,112,118,4,14
66,0,167.3,230.0,191.7,10.6,1,1,0,91,68,118,5,7
98,31,121.0,218.9,226.7,12.0,1,0,0,105,98,110,1,10
74,0,221.1,110.8,240.1,10.6,0,0,0,124,94,112,3,13
96,26,145.8,192.2,165.1,9.9,1,0,0,108,89,96,2,44
119,0,222.8,163.2,160.6,11.2,1,0,0,122,107,112,6,17
92,0,264.3,160.9,198.6,9.3,0,0,1,91,115,73,5,48
21,0,146.0,109.7,247.4,6.8,0,0,0,78,79,108,7,14
133,0,127.3,251.3,135.0,10.3,1,0,1,108,81,88,3,39
145,0,187.9,197.0,167.0,4.8,2,0,0,110,117,108,4,43
25,0,178.8,141.2,203.0,8.4,2,0,0,90,72,99,5,37
64,0,97.2,186.2,189.0,10.4,2,0,0,80,90,92,6,33
85,0,259.8,242.3,168.8,5.4,0,0,0,85,117,72,1,29
126,0,256.5,199.5,188.3,7.0,3,0,0,112,90,122,5,25
76,0,169.5,124.0,219.4,10.0,0,0,0,77,87,92,3,37
117,0,239.9,174.8,209.5,9.8,0,0,0,84,106,93,2,3
128,34,142.3,194.8,239.3,16.0,1,0,0,73,79,81,6,41
115,0,184.1,327.0,212.5,7.5,2,0,0,98,73,106,6,33
51,0,259.9,176.2,77.2,15.3,1,0,0,114,94,112,1,23
100,0,203.8,283.1,197.3,12.5,0,0,0,122,76,83,3,31
96,45,248.8,140.3,263.6,10.3,3,0,0,124,77,102,2,15
112,16,221.6,130.2,200.0,11.3,1,0,0,110,123,108,3,7
129,0,192.9,185.5,205.2,10.9,1,0,1,131,101,130,4,19
163,0,122.4,113.4,180.2,12.5,1,0,0,129,108,97,7,21
67,40,104.9,216.3,217.4,9.6,1,0,0,65,93,128,9,30
140,0,173.2,196.8,209.3,11.2,3,0,0,91,106,128,5,3
46,0,250.3,260.6,195.0,13.3,2,1,0,100,90,104,2,16
148,0,178.3,282.6,181.0,11.4,1,0,0,98,110,98,4,29
112,0,243.4,182.1,259.2,12.8,1,0,0,77,97,94,2,22
78,0,155.0,175.3,155.6,11.8,2,0,0,106,101,125,5,40
61,31,288.7,203.8,203.2,8.6,0,0,0,101,102,49,3,38
58,29,240.4,118.9,164.2,11.2,1,0,0,80,91,108,3,26
155,0,190.3,301.3,214.6,8.0,1,0,0,123,96,134,3,32
100,0,278.0,176.7,219.5,8.3,0,1,0,76,74,126,4,35
113,0,155.0,330.6,189.4,13.5,1,0,0,93,106,123,3,50
81,0,153.5,197.6,198.5,6.3,2,0,0,99,102,86,2,22
135,27,273.4,154.0,245.8,12.3,1,0,0,141,99,112,6,2
99,0,155.3,265.7,145.7,12.4,0,0,0,93,95,67,4,9
59,29,133.1,221.2,131.6,6.8,1,0,0,114,82,103,3,2
135,0,246.8,187.8,154.5,12.6,1,0,0,129,121,109,5,24
70,0,59.5,257.2,208.3,11.1,0,0,0,103,106,86,6,43
88,0,138.3,236.0,179.1,9.6,3,0,0,116,138,110,4,43
55,0,286.7,134.4,192.9,6.9,2,0,0,100,121,122,5,32
75,0,117.3,201.1,107.9,12.2,1,0,0,114,61,82,3,10
85,0,127.9,271.2,202.2,12.5,0,0,0,107,124,76,5,1
86,23,225.5,246.3,245.7,9.8,0,0,0,107,105,81,2,16
91,0,149.0,245.3,260.0,8.3,0,0,0,115,105,94,3,41
149,20,198.9,274.0,190.7,14.3,1,0,0,77,88,76,9,18
97,0,256.4,273.9,222.7,11.1,1,1,0,125,100,101,1,35
88,0,264.8,245.4,160.5,14.8,1,1,0,124,112,115,2,19
60,0,98.2,180.5,223.6,9.3,2,0,0,88,69,69,2,3
54,0,159.8,264.0,115.7,9.7,2,0,0,99,64,70,7,17
11,28,190.6,220.1,180.3,6.0,3,0,0,86,122,80,3,7
109,0,184.0,120.4,153.7,11.0,0,0,0,120,119,86,3,47
90,0,261.8,220.6,136.6,9.6,1,0,0,128,104,91,5,44
115,0,147.9,228.4,299.7,9.6,3,0,0,109,117,90,9,39
144,18,106.4,108.1,208.4,10.1,1,0,0,109,113,111,5,35
91,0,133.7,195.3,280.5,5.9,0,0,0,75,87,89,2,33
105,23,193.5,220.2,272.4,8.5,0,0,0,85,90,111,5,28
71,0,178.2,167.8,182.1,13.6,3,1,1,113,94,111,3,33
132,36,226.2,181.6,258.8,10.5,3,1,0,103,125,102,5,9
112,0,170.4,200.2,258.3,11.6,1,0,0,103,71,100,4,20
